id,platform,product_id,name,current_price,original_price,rating,review_count,store_name,category,details,image_url,crawled_at,last_updated
27,Amazon,AMZ_NOTEBOOK_0027,Nikon Compact Camera Notebook Model 27,1739.00,1972.00,3.60,48339,,Cameras & Photography,"""{\""megapixels\"": \""20\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_27.jpg,2026-01-29 16:57:38,2026-01-30 17:56:38
28,Amazon,AMZ_NOTEBOOK_0028,Panasonic Mirrorless Camera Notebook Model 28,2614.00,2909.00,4.80,36523,,Cameras & Photography,"""{\""megapixels\"": \""50\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_28.jpg,2026-01-29 16:57:38,2026-01-30 17:56:38
29,Amazon,AMZ_NOTEBOOK_0029,Sony Mirrorless Camera Notebook Model 29,1904.00,2006.00,4.10,36566,,Cameras & Photography,"""{\""megapixels\"": \""22\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_29.jpg,2026-01-29 16:57:38,2026-01-30 17:56:38
30,Amazon,AMZ_NOTEBOOK_0030,GoPro Mirrorless Camera Notebook Model 30,1515.00,1636.00,4.90,19549,,Cameras & Photography,"""{\""megapixels\"": \""24\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_30.jpg,2026-01-29 16:57:38,2026-01-30 17:56:38
31,JD.com (Sample),10000001,小米耳机 型号1 高性能版,6822.00,7017.00,3.70,29903,,,{},https://img.example.com/product_1.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
32,JD.com (Sample),10000002,三星手表 型号2 高性能版,3110.00,6487.00,3.70,28624,,,{},https://img.example.com/product_2.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
33,JD.com (Sample),10000003,三星手表 型号3 高性能版,4967.00,5164.00,4.20,47531,,,{},https://img.example.com/product_3.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
34,JD.com (Sample),10000004,VIVO手表 型号4 高性能版,8123.00,5024.00,4.90,33223,,,{},https://img.example.com/product_4.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
35,JD.com (Sample),10000005,戴尔手表 型号5 高性能版,7636.00,3953.00,4.60,1460,,,{},https://img.example.com/product_5.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
36,JD.com (Sample),10000006,苹果手表 型号6 高性能版,5018.00,1126.00,4.50,18242,,,{},https://img.example.com/product_6.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
37,JD.com (Sample),10000007,戴尔笔记本 型号7 高性能版,3701.00,7257.00,4.10,6152,,,{},https://img.example.com/product_7.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
38,JD.com (Sample),10000008,苹果耳机 型号8 高性能版,8608.00,10430.00,3.90,29649,,,{},https://img.example.com/product_8.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
39,JD.com (Sample),10000009,苹果平板 型号9 高性能版,2326.00,5010.00,4.80,28670,,,{},https://img.example.com/product_9.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
40,JD.com (Sample),10000010,华为平板 型号10 高性能版,1958.00,6543.00,3.80,49791,,,{},https://img.example.com/product_10.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
41,JD.com (Sample),10000011,联想笔记本 型号11 高性能版,7080.00,9530.00,4.80,18020,,,{},https://img.example.com/product_11.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
42,JD.com (Sample),10000012,戴尔笔记本 型号12 高性能版,9116.00,10584.00,4.30,2347,,,{},https://img.example.com/product_12.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
43,JD.com (Sample),10000013,VIVO手机 型号13 高性能版,9362.00,9081.00,4.30,43885,,,{},https://img.example.com/product_13.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
44,JD.com (Sample),10000014,华为平板 型号14 高性能版,1380.00,8090.00,4.10,32164,,,{},https://img.example.com/product_14.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
45,JD.com (Sample),10000015,联想手机 型号15 高性能版,7936.00,9194.00,3.70,38419,,,{},https://img.example.com/product_15.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
46,JD.com (Sample),10000016,小米平板 型号16 高性能版,4569.00,5775.00,4.70,38480,,,{},https://img.example.com/product_16.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
47,JD.com (Sample),10000017,VIVO平板 型号17 高性能版,8742.00,5767.00,4.40,19762,,,{},https://img.example.com/product_17.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
48,JD.com (Sample),10000018,苹果耳机 型号18 高性能版,9312.00,8076.00,3.50,44083,,,{},https://img.example.com/product_18.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
49,JD.com (Sample),10000019,华为平板 型号19 高性能版,2443.00,4882.00,5.00,12864,,,{},https://img.example.com/product_19.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
50,JD.com (Sample),10000020,VIVO平板 型号20 高性能版,2134.00,6803.00,4.70,39000,,,{},https://img.example.com/product_20.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
51,JD.com (Sample),10000021,VIVO平板 型号21 高性能版,1662.00,5166.00,4.70,17436,,,{},https://img.example.com/product_21.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
52,JD.com (Sample),10000022,VIVO平板 型号22 高性能版,1331.00,1716.00,4.40,40433,,,{},https://img.example.com/product_22.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
53,JD.com (Sample),10000023,苹果手机 型号23 高性能版,9805.00,7988.00,4.90,16389,,,{},https://img.example.com/product_23.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
54,JD.com (Sample),10000024,VIVO笔记本 型号24 高性能版,8561.00,8801.00,4.50,12994,,,{},https://img.example.com/product_24.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
55,JD.com (Sample),10000025,华为笔记本 型号25 高性能版,9771.00,4401.00,4.60,25220,,,{},https://img.example.com/product_25.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
56,JD.com (Sample),10000026,戴尔手表 型号26 高性能版,6828.00,8599.00,4.30,2794,,,{},https://img.example.com/product_26.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
57,JD.com (Sample),10000027,三星笔记本 型号27 高性能版,3626.00,8427.00,4.60,7900,,,{},https://img.example.com/product_27.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
58,JD.com (Sample),10000028,三星耳机 型号28 高性能版,6344.00,2005.00,3.60,28860,,,{},https://img.example.com/product_28.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
59,JD.com (Sample),10000029,VIVO平板 型号29 高性能版,4807.00,5382.00,4.90,29148,,,{},https://img.example.com/product_29.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
60,JD.com (Sample),10000030,OPPO笔记本 型号30 高性能版,1273.00,7660.00,4.60,37829,,,{},https://img.example.com/product_30.jpg,2026-01-27 23:27:11,2026-01-30 17:56:38
361,Amazon,B0DTTKTQWF,"MFi Certified 512GB Flash Drive Photo Stick for iPhone, External Memory Photo Keeper Storage for Data Saver/Backup/Transfer Files/Picture/Video/iPhone",43.00,55.36,3.40,30943,300+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/61Jg28DRguL._AC_UY218_.jpg,2026-01-30 20:01:49,2026-02-02 19:51:18
362,Amazon,B015CH1PJU,"SanDisk 128GB Ultra Flair USB 3.0 Flash Drive - SDCZ73-128G-G46, black",11.00,14.03,4.80,14912,10K+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/51q1BJpgGkL._AC_UY218_.jpg,2026-01-30 20:01:49,2026-02-02 19:51:18
363,Amazon,B0B6148YKN,"Amazon Basics 128 GB Ultra Fast USB 3.1 Flash Drive, Black",11.00,14.01,3.80,20736,10K+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/71RhxfozxvL._AC_UY218_.jpg,2026-01-30 20:01:49,2026-02-02 19:51:18
364,Amazon,B082ZGHXK8,32GB USB Flash Drives 2 Pack 32GB Thumb Drives Memory Stick Jump Drive with LED Light for Storage and Backup (2 Colors: Black Blue),9.00,11.37,3.00,2799,5K+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/71ULtE83xWL._AC_UY218_.jpg,2026-01-30 20:01:49,2026-02-02 19:51:18
365,Amazon,B0B61DGG18,"Amazon Basics 256 GB Ultra Fast USB 3.1 High Capacity Flash Drive for Data Transfer and Storage, Black",18.00,20.97,3.70,1316,10K+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/71XXRNmEbeL._AC_UY218_.jpg,2026-01-30 20:01:49,2026-02-02 19:51:18
366,Amazon,B0DRXNKSD5,"Amazon Basics USB Flash Drive, Thumb Drive Memory Stick with USB C and USB A Dual Ports, 256GB, Champagne Silver",19.00,24.43,4.80,8333,3K+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/614CQHbdKcL._AC_UY218_.jpg,2026-01-30 20:01:49,2026-02-02 19:51:18
367,Amazon,B081QSHG1K,"SanDisk 256GB Ultra USB 3.0 Flash Drive - SDCZ48-256G-GAM46, Black",20.00,23.75,4.10,49455,3K+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/61TuPtmTScL._AC_UY218_.jpg,2026-01-30 20:01:49,2026-02-02 19:51:18
368,Amazon,B081QSJNRJ,"SanDisk 128GB Ultra USB 3.0 Flash Drive - SDCZ48-128G-GAM46, Black",13.00,15.24,3.40,26876,2K+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/61T85CGI4ZL._AC_UY218_.jpg,2026-01-30 20:01:49,2026-02-02 19:51:18
369,Amazon,B07S4GGHNR,32GB Memory Stick USB 2.0 Flash Drives Swivel Thumb Drive Pen Drive (32GB Purple),5.00,5.86,3.10,36750,1K+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/61AZvkftK7L._AC_UY218_.jpg,2026-01-30 20:01:49,2026-02-02 19:51:18
370,Amazon,B0FBS7RH94,"512GB Flash Drive Intended for iPhone, Memory Stick Storage Files Photos Videos Backup, Compatible with iPhone iPad Android PC, Plug and Play, No Appl",22.00,25.59,4.90,35240,50+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/61nVJWs6wpL._AC_UY218_.jpg,2026-01-30 20:01:49,2026-02-02 19:51:18
371,Amazon,B09RG1TNM7,"PNY 64GB Turbo Attaché 3 USB 3.0 Flash Drive, Silver (Pack of 5)",25.00,30.20,4.00,48473,3K+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/51qNgGQLpIL._AC_UY218_.jpg,2026-01-30 20:01:49,2026-02-02 19:51:18
372,Amazon,B09FXV3MXF,"ABLAZE 32GB Flash Drive 10 Pack, USB 2.0 Memory Stick with Lanyards Swivel Thumb Drives Bulk 32GB Pendrive U Disk for Data Storage (Mixcolors)",26.00,31.92,4.40,32309,400+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/71T-gxHQU+L._AC_UY218_.jpg,2026-01-30 20:01:49,2026-02-02 19:51:18
373,Amazon,B08HSS37H7,"SanDisk 32GB 3-Pack Ultra USB 3.0 Flash Drive 32GB (Pack of 3) - SDCZ48-032G-GAM46T, Black",23.00,28.34,3.20,47042,1K+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/61TuPtmTScL._AC_UY218_.jpg,2026-01-30 20:01:49,2026-02-02 19:51:18
374,Amazon,AMZ_SAMPLE_2_0,Lenovo laptop Model 1,932.89,1891.75,3.80,31015,Lenovo Store,Electronics,{},https://via.placeholder.com/150?text=Lenovo,2026-01-30 20:02:02,2026-02-02 19:51:18
375,Amazon,AMZ_SAMPLE_2_1,Dell laptop Model 2,578.87,1984.40,5.00,22455,Dell Store,Electronics,{},https://via.placeholder.com/150?text=Dell,2026-01-30 20:02:02,2026-02-02 19:51:18
376,Amazon,AMZ_SAMPLE_2_2,Dell laptop Model 3,1518.28,649.40,3.60,43240,Dell Store,Electronics,{},https://via.placeholder.com/150?text=Dell,2026-01-30 20:02:02,2026-02-02 19:51:18
377,Amazon,AMZ_SAMPLE_2_3,Samsung laptop Model 4,1573.39,1479.79,4.80,21257,Samsung Store,Electronics,{},https://via.placeholder.com/150?text=Samsung,2026-01-30 20:02:02,2026-02-02 19:51:18
378,Amazon,AMZ_SAMPLE_2_4,Apple laptop Model 5,242.06,2135.50,4.60,13605,Apple Store,Electronics,{},https://via.placeholder.com/150?text=Apple,2026-01-30 20:02:02,2026-02-02 19:51:18
379,Amazon,B0DDYCT5YS,"PNY 128GB Turbo Attaché 3 USB 3.0 Flash Drive 5-Pack – Grey, P-FD128X5TBOP-MP, 100MB/s, Light-Weight Durable - Data Storage and Transfer",39.00,44.17,4.00,19330,1K+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/6155RbbYkAL._AC_UY218_.jpg,2026-01-30 20:02:05,2026-02-02 19:51:18
380,Amazon,B0CMXNBGQK,"256GB USB Flash Drive for Phone and Pad, Photo Stick High Speed External USB Thumb Drives Photo Storage Memory Stick for Save More Photos and Videos (",15.00,17.55,5.00,44166,List Price:,Electronics,{},https://m.media-amazon.com/images/I/614ARE4PwrL._AC_UY218_.jpg,2026-01-30 20:02:05,2026-02-02 19:51:18
381,Amazon,B09GW86W6Y,"ThePhotoStick® Omni 128GB USB Flash Drive & Memory Stick – Photo & Video Backup for iPhone, Android, Mac & PC – Multiport Connection to Easily Store &",57.00,67.83,4.60,37844,2K+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/61Nwje5iDGL._AC_UY218_.jpg,2026-01-30 20:02:05,2026-02-02 19:51:18
382,Amazon,B00RORBNWG,Verbatim 32GB Store 'n' Stay Nano USB 3.2 Gen 1 Flash Drive Snag-free Low Profile Thumb Drive - Blue,5.00,6.37,3.70,22069,1K+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/61pYZ-CzMSL._AC_UY218_.jpg,2026-01-30 20:02:05,2026-02-02 19:51:18
383,Amazon,B01CKT1DTA,EASTFUN 5Pcs 8GB USB Flash Drive USB 2.0 Flash Memory Stick Thumb Stick Pen(Five Mixed Colors: Blue Purple Rose Green Gold),11.00,13.98,3.50,40843,500+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/61LFANbLl1L._AC_UY218_.jpg,2026-01-30 20:02:05,2026-02-02 19:51:18
384,Amazon,B0CL289J6Q,Wholesale (Mix Pack) (16MB-64GB) USB 2.0 Metal Flash Memory Stick Pen Drive Storage Thumb U Disk Lot (5PCS - 128MB),6.00,6.92,5.00,6012,Amazon,Electronics,{},https://m.media-amazon.com/images/I/61ulUyh2JYL._AC_UY218_.jpg,2026-01-30 20:02:05,2026-02-02 19:51:18
385,Amazon,B0DSG3FWJB,"SanDisk 512GB Extreme PRO Dual Drive - Up to 1,000MB/s, USB Type-C, and USB Type-A, High-Performance Flash Drive - SDDDE1-512G-G46",46.00,59.11,4.70,19571,1K+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/61SO6cMhVvL._AC_UY218_.jpg,2026-01-30 20:02:05,2026-02-02 19:51:18
386,Amazon,B0978ZCNSJ,"SanDisk 32GB 3-Pack Cruzer Glide USB 2.0 Flash Drive (3x32GB) - SDCZ60-032G-G46T, Black",0.00,0.00,3.40,40231,500+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/51pe0ND7gGL._AC_UY218_.jpg,2026-01-30 20:02:05,2026-02-02 19:51:18
387,Amazon,B0CSW6375K,128GB USB C Flash Drive Dual USB 3.0 Flash Drive Type C + USB A Portable Type-C Flash Drive 2-in-1 USB-C Thumb Drive for Smartphone Tablet Computer Ma,12.00,14.04,4.80,46153,6K+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/51K6hZcFQ4L._AC_UY218_.jpg,2026-01-30 20:02:05,2026-02-02 19:51:18
388,Amazon,B0DS9VVRGJ,"256GB Flash Drive Intended for Phone Tablet Androidphone and Computers, 4 in 1 Photo Stick for Phone Memory Storage Easily Backup Photos Videos, Plug",11.00,13.60,4.90,14893,300+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/71ZrIAFumpL._AC_UY218_.jpg,2026-01-30 20:02:05,2026-02-02 19:51:18
389,Amazon,B017RD10X8,SanDisk 64GB Cruzer Glide USB 3.0 Flash Drive SDCZ600-064G-B35,11.00,13.57,4.20,3398,400+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/51gckc6-M+L._AC_UY218_.jpg,2026-01-30 20:02:05,2026-02-02 19:51:18
390,Amazon,B077Y149DL,SanDisk 16GB Ultra Fit USB 3.2 Flash Drive - SDCZ430-016G-G46,8.00,9.91,3.10,4885,400+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/917k6WqTLSL._AC_UY218_.jpg,2026-01-30 20:02:05,2026-02-02 19:51:18
391,Amazon,B07FLP3TKD,"4GB USB Flash Drive, Flash Stick 4 GB 10 Pack Memory Stick JBOS Swivel Thumb Drives Gig Stick USB2.0 Pen Drive for Fold Digital Date Storage, Zip Driv",18.00,20.66,4.90,26618,50+ bought in past month,Electronics,{},https://m.media-amazon.com/images/I/61lrRFxDPHL._AC_UY218_.jpg,2026-01-30 20:02:05,2026-02-02 19:51:18
392,Amazon,AMZ_SAMPLE_4_0,Samsung laptop Model 1,1476.83,2455.06,4.90,24463,Samsung Store,Electronics,{},https://via.placeholder.com/150?text=Samsung,2026-01-30 20:02:14,2026-02-02 19:51:18
393,Amazon,AMZ_SAMPLE_4_1,Apple laptop Model 2,175.89,2470.85,3.60,41566,Apple Store,Electronics,{},https://via.placeholder.com/150?text=Apple,2026-01-30 20:02:14,2026-02-02 19:51:18
394,Amazon,AMZ_SAMPLE_4_2,Apple laptop Model 3,1564.11,238.79,3.90,3202,Apple Store,Electronics,{},https://via.placeholder.com/150?text=Apple,2026-01-30 20:02:14,2026-02-02 19:51:18
395,Amazon,AMZ_SAMPLE_4_3,Apple laptop Model 4,361.73,1562.83,4.60,9259,Apple Store,Electronics,{},https://via.placeholder.com/150?text=Apple,2026-01-30 20:02:14,2026-02-02 19:51:18
396,Amazon,AMZ_SAMPLE_4_4,Samsung laptop Model 5,603.30,221.68,3.60,28302,Samsung Store,Electronics,{},https://via.placeholder.com/150?text=Samsung,2026-01-30 20:02:14,2026-02-02 19:51:18
397,Amazon,AMZ_SAMPLE_5_0,HP laptop Model 1,1684.96,1332.27,4.30,43027,HP Store,Electronics,{},https://via.placeholder.com/150?text=HP,2026-01-30 20:02:26,2026-02-02 19:51:18
398,Amazon,AMZ_SAMPLE_5_1,Samsung laptop Model 2,157.57,1905.87,4.00,46810,Samsung Store,Electronics,{},https://via.placeholder.com/150?text=Samsung,2026-01-30 20:02:26,2026-02-02 19:51:18
399,Amazon,AMZ_SAMPLE_5_2,Samsung laptop Model 3,1382.80,1735.80,4.40,16412,Samsung Store,Electronics,{},https://via.placeholder.com/150?text=Samsung,2026-01-30 20:02:26,2026-02-02 19:51:18
